UG,"NOME DA UG",CGCFEX,RM,COMANDO,ANO,SEQ,NR,LINK,SRP,"DATA DE INCLUSÃO","DATA DE PUBLICAÇÃO PNCP","DATA DE ATUALIZAÇÃO","DATA DE ABERTURA DA PROPOSTA","DATA DE ENCERRAMENTO DA PROPOSTA","INF. COMPL.",PROCESSO,OBJETO,LINK,JUST_PRESENCIAL,"NR PNCP",MODALIDADE,SITUAÇÃO,"INSTR CONVOCATÓRIO","MODO DE DISPUTA","DESCRIÇÃO DO AMPARO","NOME DO AMPARO","CNPJ DO ÓRGÃO","NOME DO ÓRGÃO","VALOR ESTIMADO","VALOR HOMOLOGADO","ITEM NR","TEM RESULTADO?","ITEM DESCRIÇÃO",MATERIAL/SERVIÇO,"VALOR UNITÁRIO ESTIMADO","ITEM QTDE","ITEM UNIDADE","CATEGORIA DO ITEM",JULGAMENTO,"SITUAÇÃO DO ITEM",BENEFÍCIO,"DATA DE INCLUSÃO DO ITEM","DATA DE ATUALIZAÇÃO DO ITEM",FAV,"NOME DO FAV",PORTE,"NATUREZA JURÍDICA","DATA DE INCLUSÃO DO RESULTADO","DATA DE ATUALIZAÇÃO DO RESULTADO","DATA DO RESULTADO","QTDE HOM","VALOR HOM","PERCENTUAL DE DESCONTO","VALOR TOTAL ESTIMADO","VALOR TOTAL HOM"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,3447,00016,"Aviso de Contratação Direta
Acompanhar",NÃO,"23/05/2023 15:12:01","23/05/2023 15:12:01","23/05/2023 15:12:01","23/05/2023 15:11:58","01/01/1970 00:00:00","Organização dos materiais odontológicos durante o atendimento dos militares.",64618002934202313,"Mesa auxiliar odontológica em MDF, composta por 6 gavetas, puxadores de alumínio, na cor branca, corrediças telescópicas, medidas aproximadas: altura 75 cm.","Aviso de Contratação Direta
Acompanhar",,00394452000103-1-003447/2023,Dispensa,"Divulgada no PNCP","Aviso de Contratação Direta","Dispensa Com Disputa","Dispensa de Licitação: para contratação que envolva valores inferiores a R$ 50.000,00 (cinquenta mil reais), no caso de outros serviços e compras","Lei 14.133/2021, Art. 75, II",00394452000103,"COMANDO DO EXERCITO",0.00,0.00,1,NÃO,"Mesa Auxiliar",Material,0.0000,1.0000,Unidade,"Não se aplica","Menor preço",Deserto,"Participação exclusiva para ME/EPP","23/05/2023 15:12:01","14/06/2023 15:57:36",,,,,"31/12/1969 21:00:00","31/12/1969 21:00:00","31/12/1969 21:00:00",,,,"0,00","0,00"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,5920,00036,"Aviso de Contratação Direta
Acompanhar",NÃO,"05/07/2023 15:50:34","05/07/2023 15:50:34","05/07/2023 15:50:34","05/07/2023 15:50:32","01/01/1970 00:00:00","Necessidades da OM.",64618004939202372,"Contratação de ADEQUAÇÃO DE CABINE DE SUBSTAÇÃO DE MÉDIA TENSÃO DO PARQUE REGIONAL DE MANUTENÇÃO 5","Aviso de Contratação Direta
Acompanhar",,00394452000103-1-005920/2023,Dispensa,"Divulgada no PNCP","Aviso de Contratação Direta","Dispensa Com Disputa","Dispensa de Licitação: para contratação que envolva valores inferiores a R$ 100.000,00 (cem mil reais), no caso de obras e serviços de engenharia ou de serviços de manutenção de veículos automotores","Lei 14.133/2021, Art. 75, I",00394452000103,"COMANDO DO EXERCITO",37257.95,37250.00,1,SIM,"Manutenção de Subestações de Energia Elétrica Até 69kv",Serviço,37257.9500,1.0000,UNIDADE,"Não se aplica","Menor preço",Homologado,"Participação exclusiva para ME/EPP","05/07/2023 15:50:34","13/07/2023 15:51:36",36126073000171,"777 ENERGIA LTDA",Demais,,"13/07/2023 15:51:35","13/07/2023 15:51:35","13/07/2023 00:00:00",1.0000,37250.0000,0.0000,"37.257,95","37.250,00"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,6037,00035,"Aviso de Contratação Direta
Acompanhar",NÃO,"06/07/2023 17:10:49","06/07/2023 17:10:49","06/07/2023 17:10:49","06/07/2023 17:10:48","01/01/1970 00:00:00","Devido à necessidade da urgência da contratação, uma vez que já existe crédito em tela c/ data prevista p/ recolhimento.",64618.004729/2023,"Contratação de serviço de recuperação de motor da viatura ONIBUS VOLKSWAGEM MASCARELLO VTE EB 3411281874.","Aviso de Contratação Direta
Acompanhar",,00394452000103-1-006037/2023,Dispensa,"Divulgada no PNCP","Aviso de Contratação Direta","Dispensa Com Disputa","Dispensa de Licitação: para contratação que envolva valores inferiores a R$ 100.000,00 (cem mil reais), no caso de obras e serviços de engenharia ou de serviços de manutenção de veículos automotores","Lei 14.133/2021, Art. 75, I",00394452000103,"COMANDO DO EXERCITO",24814.00,24800.00,1,SIM,"Manutenção de Veículos Pesados - Parte Mecânica",Serviço,24814.0000,1.0000,UNIDADE,"Não se aplica","Menor preço",Homologado,"Participação exclusiva para ME/EPP","06/07/2023 17:10:49","13/07/2023 16:31:11",72556871000105,"SOLA & GIRALDI LTDA",Demais,,"13/07/2023 16:31:11","13/07/2023 16:31:11","13/07/2023 00:00:00",1.0000,24800.0000,0.0000,"24.814,00","24.800,00"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,6985,00002,"Edital
Acompanhar",SIM,"24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 08:00:00","03/08/2023 08:30:00","Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=quadro-informativo&compra=16022405000022023",64618003835202341,"Aquisição de produtos químicos, vidrarias e equipamentos de laboratório, Equipamentos de Proteção Individual (EPIs), e outros equipamentos em geral para oficina de manutenção de armamento.","Edital
Acompanhar",,00394452000103-1-006985/2023,"Pregão - Eletrônico","Divulgada no PNCP",Edital,Aberto,"pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns","Lei 14.133/2021, Art. 28, I",00394452000103,"COMANDO DO EXERCITO",83513.11,57014.72,1,SIM,"Funil laboratório",Material,278.2700,4.0000,Unidade,"Não se aplica","Menor preço","Em andamento","Participação exclusiva para ME/EPP","24/07/2023 07:00:41","24/07/2023 07:00:41",21707794000106,"FASTLABOR COMERCIAL LTDA",ME,"Sociedade Empresária Limitada","10/08/2023 15:03:35","10/08/2023 15:03:35","10/08/2023 00:00:00",4.0000,270.0000,0.0000,"1.113,08","1.080,00"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,6985,00002,"Edital
Acompanhar",SIM,"24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 08:00:00","03/08/2023 08:30:00","Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=quadro-informativo&compra=16022405000022023",64618003835202341,"Aquisição de produtos químicos, vidrarias e equipamentos de laboratório, Equipamentos de Proteção Individual (EPIs), e outros equipamentos em geral para oficina de manutenção de armamento.","Edital
Acompanhar",,00394452000103-1-006985/2023,"Pregão - Eletrônico","Divulgada no PNCP",Edital,Aberto,"pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns","Lei 14.133/2021, Art. 28, I",00394452000103,"COMANDO DO EXERCITO",83513.11,57014.72,2,SIM,"Suporte laboratório",Material,191.7200,2.0000,Unidade,"Não se aplica","Menor preço","Em andamento","Participação exclusiva para ME/EPP","24/07/2023 07:00:41","24/07/2023 07:00:41",21707794000106,"FASTLABOR COMERCIAL LTDA",ME,"Sociedade Empresária Limitada","10/08/2023 15:03:35","10/08/2023 15:03:35","10/08/2023 00:00:00",2.0000,168.3000,0.0000,"383,44","336,60"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,6985,00002,"Edital
Acompanhar",SIM,"24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 08:00:00","03/08/2023 08:30:00","Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=quadro-informativo&compra=16022405000022023",64618003835202341,"Aquisição de produtos químicos, vidrarias e equipamentos de laboratório, Equipamentos de Proteção Individual (EPIs), e outros equipamentos em geral para oficina de manutenção de armamento.","Edital
Acompanhar",,00394452000103-1-006985/2023,"Pregão - Eletrônico","Divulgada no PNCP",Edital,Aberto,"pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns","Lei 14.133/2021, Art. 28, I",00394452000103,"COMANDO DO EXERCITO",83513.11,57014.72,3,SIM,"Escova limpeza geral",Material,64.5000,4.0000,Unidade,"Não se aplica","Menor preço","Em andamento","Participação exclusiva para ME/EPP","24/07/2023 07:00:41","24/07/2023 07:00:41",22627453000185,"A C L ASSISTENCIA E COMERCIO DE PRODUTOS PARA LABORATORIOS LTDA",ME,"Sociedade Empresária Limitada","10/08/2023 15:03:35","10/08/2023 15:03:35","10/08/2023 00:00:00",4.0000,40.0200,0.0000,"258,00","160,08"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,6985,00002,"Edital
Acompanhar",SIM,"24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 08:00:00","03/08/2023 08:30:00","Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=quadro-informativo&compra=16022405000022023",64618003835202341,"Aquisição de produtos químicos, vidrarias e equipamentos de laboratório, Equipamentos de Proteção Individual (EPIs), e outros equipamentos em geral para oficina de manutenção de armamento.","Edital
Acompanhar",,00394452000103-1-006985/2023,"Pregão - Eletrônico","Divulgada no PNCP",Edital,Aberto,"pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns","Lei 14.133/2021, Art. 28, I",00394452000103,"COMANDO DO EXERCITO",83513.11,57014.72,4,SIM,Bureta,Material,80.0000,4.0000,Unidade,"Não se aplica","Menor preço","Em andamento","Participação exclusiva para ME/EPP","24/07/2023 07:00:41","24/07/2023 07:00:41",21707794000106,"FASTLABOR COMERCIAL LTDA",ME,"Sociedade Empresária Limitada","10/08/2023 15:03:36","10/08/2023 15:03:36","10/08/2023 00:00:00",4.0000,80.0000,0.0000,"320,00","320,00"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,6985,00002,"Edital
Acompanhar",SIM,"24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 08:00:00","03/08/2023 08:30:00","Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=quadro-informativo&compra=16022405000022023",64618003835202341,"Aquisição de produtos químicos, vidrarias e equipamentos de laboratório, Equipamentos de Proteção Individual (EPIs), e outros equipamentos em geral para oficina de manutenção de armamento.","Edital
Acompanhar",,00394452000103-1-006985/2023,"Pregão - Eletrônico","Divulgada no PNCP",Edital,Aberto,"pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns","Lei 14.133/2021, Art. 28, I",00394452000103,"COMANDO DO EXERCITO",83513.11,57014.72,5,NÃO,"Ácido sulfúrico",Material,23.9800,6.0000,Litro,"Não se aplica","Menor preço",Fracassado,"Participação exclusiva para ME/EPP","24/07/2023 07:00:41","10/08/2023 15:03:36",,,,,"31/12/1969 21:00:00","31/12/1969 21:00:00","31/12/1969 21:00:00",,,,"143,88","0,00"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,6985,00002,"Edital
Acompanhar",SIM,"24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 08:00:00","03/08/2023 08:30:00","Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=quadro-informativo&compra=16022405000022023",64618003835202341,"Aquisição de produtos químicos, vidrarias e equipamentos de laboratório, Equipamentos de Proteção Individual (EPIs), e outros equipamentos em geral para oficina de manutenção de armamento.","Edital
Acompanhar",,00394452000103-1-006985/2023,"Pregão - Eletrônico","Divulgada no PNCP",Edital,Aberto,"pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns","Lei 14.133/2021, Art. 28, I",00394452000103,"COMANDO DO EXERCITO",83513.11,57014.72,6,SIM,"Pinça laboratório",Material,153.4200,2.0000,Unidade,"Não se aplica","Menor preço","Em andamento","Participação exclusiva para ME/EPP","24/07/2023 07:00:41","24/07/2023 07:00:41",21707794000106,"FASTLABOR COMERCIAL LTDA",ME,"Sociedade Empresária Limitada","10/08/2023 15:03:36","10/08/2023 15:03:36","10/08/2023 00:00:00",2.0000,151.8800,0.0000,"306,84","303,76"
160224,"PARQUE REGIONAL DE MANUTENCAO/5","5º CGCFEx","5ª RM",CMS,2023,6985,00002,"Edital
Acompanhar",SIM,"24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 07:00:41","24/07/2023 08:00:00","03/08/2023 08:30:00","Para as respostas de esclarecimentos e impugnações deste edital acesse o link: https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=quadro-informativo&compra=16022405000022023",64618003835202341,"Aquisição de produtos químicos, vidrarias e equipamentos de laboratório, Equipamentos de Proteção Individual (EPIs), e outros equipamentos em geral para oficina de manutenção de armamento.","Edital
Acompanhar",,00394452000103-1-006985/2023,"Pregão - Eletrônico","Divulgada no PNCP",Edital,Aberto,"pregão: modalidade de licitação obrigatória para aquisição de bens e serviços comuns","Lei 14.133/2021, Art. 28, I",00394452000103,"COMANDO DO EXERCITO",83513.11,57014.72,7,SIM,Pipeta,Material,11.9500,10.0000,Unidade,"Não se aplica","Menor preço","Em andamento","Participação exclusiva para ME/EPP","24/07/2023 07:00:41","24/07/2023 07:00:41",21707794000106,"FASTLABOR COMERCIAL LTDA",ME,"Sociedade Empresária Limitada","10/08/2023 15:03:36","10/08/2023 15:03:36","10/08/2023 00:00:00",10.0000,9.9000,0.0000,"119,50","99,00"
