Número da Compra;Número do Item;Descrição;Descrição Detalhada;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Marca;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento;UG;Quantidade Empenhada;Início da Vigência;Fim da Vigência;Capacidade de Empenho
160211-90004/2024;2;445115 - Alvo de tiro;Alvo De Tiro Material: Papel Cartão , Tipo: Retangular , Tamanho: 15 X 08 CM, Características Adicionais: Silhueta Preta;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;200;37.420.039/0001-78 - CGM GRAFICA E COMUNICACAO VISUAL LTDA;0.35;200.0;PRÓPRIA;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Unidade;160211;0.0;;;70.0
160211-90004/2024;3;468994 - Alvo de tiro;Alvo De Tiro Material: Papel Cartão , Tipo: Silhueta , Tamanho: 100 X 50 CM, Características Adicionais: Silhueta Preta;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;100;37.420.039/0001-78 - CGM GRAFICA E COMUNICACAO VISUAL LTDA;2.2;100.0;PRÓPRIA;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Unidade;160211;0.0;;;220.00000000000003
160211-90004/2024;4;250678 - Obréia;Obréia Material: Papel Celulose Vegetal , Formato: Circular , Apresentação: Auto Adesiva , Cor: Preta , Tamanho: Padrão , Aplicação: Cobrir Furos Causados Por Projéteis Nos Alvos.;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;15;38.261.300/0001-05 - P H P DE FREITAS RODRIGUES;4.5;15.0;TP19MM;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Rolo 1000,00 UN;160211;0.0;;;67.5
160211-90004/2024;5;250677 - Obréia;Obréia Material: Papel Celulose Vegetal , Formato: Circular , Apresentação: Auto Adesiva , Cor: Branca , Tamanho: Padrão , Aplicação: Cobrir Furos Causados Por Projéteis Nos Alvos.;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;15;38.261.300/0001-05 - P H P DE FREITAS RODRIGUES;4.5;15.0;TP19MM;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Rolo 1000,00 UN;160211;0.0;;;67.5
160211-90004/2024;6;608634 - Óculos proteção;Óculos Proteção Material Armação: Polímero , Tipo Proteção: Lateral/Frontal , Tipo Lente: Anti-Risco , Cor Lente: Incolor , Aplicação: Proteção Dos Olhos, Contra Poeira E Resíduos Do Ar , Características Adicionais: Uva/Uvb/Ajuste Comprimento Hastes , Material Lente: Policarbonato , Cor Armação: Amarela/Preta;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;30;43.058.709/0001-50 - PARANASEG EQUIPAMENTOS E SUPRIMENTOS INDUSTRIAIS LTDA;2.45;1.0;CA 48018;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Unidade;160211;29.0;;;2.45
160211-90004/2024;7;457208 - Corante;Corante Material: Corante Pó Com Pigmentos , Cor: Verde , Aplicação: Multiuso , Apresentação: Caixa Com 500 Gramas , Tipo: Pó Xadrez / Vermelhão;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;5;14.968.227/0001-30 - FERGAVI COMERCIAL LTDA;14.38;0.0;ALPHACOLOR;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Unidade;160211;5.0;;;0.0
160211-90004/2024;13;432375 - Barbante;Barbante Material: Algodão , Cor: Laranja , Diâmetro: 4 MM, Características Adicionais: Torcido;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;10;27.176.482/0001-91 - DOUGLAS CORDEIRO LTDA;14.4;10.0;BARBANTE;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Unidade;160211;0.0;;;144.0
160211-90004/2024;15;440660 - Plástico;Plástico Material: Lisolene , Espessura: 0,20 MM, Cor: Variada , Largura: 1,38;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;1;08.583.283/0001-53 - SANTOS & SANTOS LTDA;119.0;1.0;50 metros;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Rolo 50,00 M;160211;0.0;;;119.0
160211-90004/2024;18;615588 - Caneta Esferográfica;Caneta Esferográfica Material: Termoplástico , Quantidade Cargas: 1 UN, Material Ponta: Latão Com Esfera De Tungstênio , Tipo Escrita: Fina , Cor Tinta: Azul , Características Adicionais: Corpo Sextavado Com Respiro, Tampa Removível Venti;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;2;04.176.836/0001-00 - RC TEIVE COMERCIO E DISTRIBUICAO LTDA;27.27;0.0;CRISTAL 0,8;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Caixa 50,00 UN;160211;2.0;;;0.0
160211-90004/2024;28;600700 - Fita Sinalização;Fita Sinalização Material: Polipropileno , Comprimento: 200 M, Largura: 7 CM, Cor: Preta E Amarela , Aplicação: Demarcação E Isolamento , Características Adicionais: Sem Adesivos;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;10;26.348.306/0001-27 - T&T INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA;7.0;10.0;FITA ZEBRADA PT/AM 2;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Rolo 200,00 M;160211;0.0;;;70.0
160211-90004/2024;33;432400 - Quadro branco;Quadro Branco Material: Laminado Melamínico Brilhante , Acabamento Superficial Moldura: Anodizado , Largura: 1,20 M, Comprimento: 2 M, Características Adicionais: Suporte Para Apagador E Pincéis , Tipo Fixação: Parede , Material Moldura: Alumínio;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;1;26.854.929/0001-71 - DIDAQUE EMPREENDIMENTOS LTDA;274.0;1.0;STALO;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Unidade;160211;0.0;;;274.0
160211-90004/2024;34;384631 - Tesoura;Tesoura Material: Aço Inoxidável , Material Cabo: Polipropileno , Comprimento: 17 CM, Características Adicionais: Cabo Anatômico Preto,Ponta Fina;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;5;38.733.047/0001-37 - 38.733.047 IGOR LIMA DE SOUZA;4.48;5.0;Tesoura Go Office 17;Participante;90004;2024;160211 - 20 BATALHAO DE INFANTARIA BLINDADO;Aquisição de material de instrução, manobra e patrulhamento para atender as necessidades do 20º BIB e integrantes do CCALC da 5ª RM, conforme condições e exigências estabelecidas neste instrumento.;Unidade;160211;0.0;;;22.400000000000002
