Número da Compra;Número do Item;Descrição;Descrição Detalhada;Início da Vigência;Fim da Vigência;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Marca;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento
160223-00016/2023;1;434110 - Acetilcisteína;Acetilcisteína Forma Farmaceutica: Granulado Para Solução Oral , Concentraçao: 600 M;;;160223 - HOSPITAL GERAL DE CURITIBA;180;07.752.236/0001-23 - MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A;0.79;180;CISTEIL 154230140022;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Envelope
160223-00016/2023;2;268375 - Aciclovir;Uso: Creme, Dosagem: 50 MG/G,;;;160223 - HOSPITAL GERAL DE CURITIBA;20;10.596.721/0001-60 - GEORGINI PRODUTOS HOSPITALARES LTDA;2.2;20;BISNAGA;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Bisnaga 10,00 G
160223-00016/2023;4;315056 - Água Destilada;Água Destilada Aspecto Físico: Bidestilada, Estéril, Apirogênica;;;160223 - HOSPITAL GERAL DE CURITIBA;100;81.706.251/0001-98 - PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA;0.24;100;FARMACE -AGUA PARA I;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Ampola 10,00 ML
160223-00016/2023;7;267506 - Albendazol;Albendazol Dosagem: 400 M;;;160223 - HOSPITAL GERAL DE CURITIBA;150;10.596.721/0001-60 - GEORGINI PRODUTOS HOSPITALARES LTDA;0.39;150;COMP;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Comprimido
160223-00016/2023;10;446263 - Ambroxol;Forma Farmacêutica: Xarope, Composição: Sal Cloridrato, Concentração: 6 MG/ML,;;;160223 - HOSPITAL GERAL DE CURITIBA;100;81.706.251/0001-98 - PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA;4.02;100;AIRELA;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Frasco 120,00 ML
160223-00016/2023;11;271710 - Amiodarona;Amiodarona Indicação: Injetável , Dosagem: 50mg/Ml;;;160223 - HOSPITAL GERAL DE CURITIBA;10;02.816.696/0001-54 - PONTAMED FARMACEUTICA LTDA;2.8;10;GENERICO;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Ampola 3,00 ML
160223-00016/2023;13;271089 - Amoxicilina;Amoxicilina Concentração: 500mg;;;160223 - HOSPITAL GERAL DE CURITIBA;500;00.802.002/0001-02 - ALTERMED MATERIAL MEDICO HOSPITALAR LTDA;0.24;500;UNICHEM (GENERICO);Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Cápsula
160223-00016/2023;15;271217 - Amoxicilina;Amoxicilina Princípio Ativo: Associada Com Clavulanato De Potássio , Concentração: 500mg + 125mg;;;160223 - HOSPITAL GERAL DE CURITIBA;500;05.912.018/0001-83 - MERCO SOLUCOES EM SAUDE S/A;2.96;500;500+125 RANBAXY;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Comprimido
160223-00016/2023;17;277934 - Atropina Sulfato;Atropina Sulfato Uso: Solução Injetável , Dosagem: 0,50 MG/M;;;160223 - HOSPITAL GERAL DE CURITIBA;5;;;5;;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Ampola 1,00 ML
160223-00016/2023;18;267140 - Azitromicina;Azitromicina Dosagem: 500 M;;;160223 - HOSPITAL GERAL DE CURITIBA;200;02.816.696/0001-54 - PONTAMED FARMACEUTICA LTDA;0.69;200;AZITROPHAR;Pregão Eletrônico;00016;2023;160223 - HOSPITAL GERAL DE CURITIBA;Eventual aquisição de medicamentos e materiais médico hospitalares para atender as necessidades da Farmácia central do HGeC.;Comprimido
