UG,NR,CHAVE,"TIPO NE","DATA TRANSACAO","DATA EMISSAO","VALOR NE",FAV,"COD AMPARO","COD MOD LIC","MOD LIC",NORMATIVO,ART,PARAGRAFO,INCISO,ALINEA,"AMPARO COMPLETO",OBS,ESFERA,PTRES,UO,PROGRAMA,ACAO,RP,"TIPO CREDITO",PO,"AUTOR EMENDA",FONTE,ND,PI,"RADICAL 4 PI","MEIO 3 PI","SUFIXO 4 PI",PROCESSO,UGR,LOCAL,CAMBIO,"INFORMAÇÃO COMPLEMENTAR",SISTEMA,ORDEM,ITEM,NDSI,SI,"OBS LI","DATA OPERAÇÃO",OPERACAO,QUANTIDADE,"VALOR UNIT","VALOR OPERACAO"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,2,2,33903024,24,"ITEM COMPRA: 00007 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO ADAPTADOR, TIPO FIXAÇÃO SOLDÁVEL E ROSCÁVEL, BITOLA LADO ROSCÁVEL 1 POL, BITOLA LADO SOLDÁVEL 32 MM, CARACTERÍSTICAS ADICIONAIS CURTO COM BOLSA, APLICAÇÃO INSTALAÇÕES PREDIAIS ÁGUA FRIA",31/07/24,INCLUSAO,15,"1,32","19,80"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,3,3,33903024,24,"ITEM COMPRA: 00008 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO ADAPTADOR CURTO, TIPO FIXAÇÃO SOLDÁVEL E ROSCÁVEL, BITOLA LADO ROSCÁVEL 1 1/2 POL, BITOLA LADO SOLDÁVEL 50 MM, CARACTERÍSTICAS ADICIONAIS COM BOLSA, COR MARROM",31/07/24,INCLUSAO,10,"3,04","30,40"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,4,4,33903024,24,"ITEM COMPRA: 00024 - CONEXÃO HIDRÁULICA, MATERIAL PVC RÍGIDO, TIPO CAP, TIPO FIXAÇÃO SOLDÁVEL, APLICAÇÃO INSTALAÇÕES ESGOTO, COR BRANCA, BITOLA 100 MM",31/07/24,INCLUSAO,20,"4,60","92,00"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,5,5,33903024,24,"ITEM COMPRA: 00027 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO CAP, APLICAÇÃO REDE HIDRÁULICA E ESGOTO, NORMAS TÉCNICAS NBR 5688, BITOLA 50 MM",31/07/24,INCLUSAO,20,"1,34","26,80"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,6,6,33903024,24,"ITEM COMPRA: 00028 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO CAP, TIPO FIXAÇÃO SOLDÁVEL, APLICAÇÃO INSTALAÇÕES PREDIAIS ÁGUA FRIA, NORMAS TÉCNICAS NBR 5648, BITOLA 25 MM",31/07/24,INCLUSAO,20,"0,38","7,60"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,7,7,33903024,24,"ITEM COMPRA: 00029 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO CAP, TIPO FIXAÇÃO SOLDÁVEL, APLICAÇÃO INSTALAÇÕES PREDIAIS ÁGUA FRIA, NORMAS TÉCNICAS NBR 5648, BITOLA 32 MM",31/07/24,INCLUSAO,5,"0,89","4,45"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,8,8,33903024,24,"ITEM COMPRA: 00030 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO CAP, TIPO FIXAÇÃO SOLDÁVEL, BITOLA 50 MM",31/07/24,INCLUSAO,20,"2,70","54,00"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,9,9,33903024,24,"ITEM COMPRA: 00034 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO TÊ 90°, BITOLA LADO ROSCÁVEL 1/2 POL, BITOLA LADO SOLDÁVEL 25 MM, CARACTERÍSTICAS ADICIONAIS COM BUCHA DE LATÃO, APLICAÇÃO INSTALAÇÕES PREDIAIS ÁGUA FRIA, COR AZUL",31/07/24,INCLUSAO,20,"3,74","74,80"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,10,10,33903024,24,"ITEM COMPRA: 00041 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO TÊ, TIPO FIXAÇÃO PONTA E BOLSA, APLICAÇÃO INSTALAÇÕES ESGOTO, BITOLA 100 MM",31/07/24,INCLUSAO,10,"7,20","72,00"
160224,2024NE000441,160224000012024NE000441,ORDINARIO,05/08/24,31/07/24,"1.687,51",46945369000178,179,12,PREGAO,"LEI 14.133/2021",28,,I,,"Inc. I, Art. 28, LEI 14.133/2021","2024NC409538, COEX DE 10MAI24 REQUISIÇÃO 8 SEÇ MNT INST",1,232144,52121,6112,21A0,2,A,0005,000000000000,1000000000,339030,E5ARPDRDEGE,E5AR,PDR,DEGE,64618.006581/2024-01,160504,"AV. FRANCISCO M. ALBIZU, 320, BACACHERI, CURITIBA-PR",0.0000,"16021205000102023 - UASG MINUTA: 160224",COMPRASNET-ME,11,11,33903024,24,"ITEM COMPRA: 00042 - CONEXÃO HIDRÁULICA, MATERIAL PVC- CLORETO DE POLIVINILA, TIPO TÊ, TIPO FIXAÇÃO PONTA E BOLSA, APLICAÇÃO INSTALAÇÕES ESGOTO, BITOLA 100 MM",31/07/24,INCLUSAO,5,"8,74","43,70"
